NC_027961.1	1	15264	scf_41	25392	40656	-1	99.85
NC_071294.1	346	5741097	scf_16	6910965	12651725	-1	99.99
NC_071294.1	5741098	12620423	scf_16	31704	6911000	-1	99.99
NC_071294.1	12620125	12651313	scf_16	814	32037	-1	99.76
NC_071295.1	16	8219	scf_23	30100	21897	-1	100.00
NC_071295.1	13980	15219	scf_48	4078	2839	-1	100.00
NC_071295.1	40139	2580453	scf_3	2580192	39805	-1	99.97
NC_071295.1	2580555	2581948	scf_3	2581582	2580199	-1	98.35
NC_071295.1	2582173	2589618	scf_3	2588746	2581372	-1	96.78
NC_071295.1	2594947	2604254	scf_3	2597993	2588744	-1	96.10
NC_071295.1	2604438	2607039	scf_3	2600630	2597996	-1	98.03
NC_071295.1	2607055	2633745	scf_3	2627451	2600746	-1	98.04
NC_071295.1	2633747	2690208	scf_3	2684077	2627594	-1	98.22
NC_071295.1	2693282	2704101	scf_3	2694898	2684155	-1	96.64
NC_071295.1	2704366	2706766	scf_3	2697288	2694893	-1	98.71
NC_071295.1	2706780	2729193	scf_3	2720143	2697694	-1	98.96
NC_071295.1	2729996	2738861	scf_3	2729131	2720235	-1	96.97
NC_071295.1	2738906	2744761	scf_3	2735145	2729297	-1	98.13
NC_071295.1	2744991	2772435	scf_3	2762658	2735155	-1	98.36
NC_071295.1	2776235	2788726	scf_3	2775135	2762644	-1	99.66
NC_071295.1	2789600	2800499	scf_3	2786039	2775133	-1	98.63
NC_071295.1	2800681	2803601	scf_3	2788943	2786038	-1	97.82
NC_071295.1	2803864	2807748	scf_3	2792894	2788940	-1	97.09
NC_071295.1	2807899	2815398	scf_3	2800453	2792927	-1	95.77
NC_071295.1	2815406	2823321	scf_3	2808459	2800566	-1	97.59
NC_071295.1	2823322	2846919	scf_3	2832053	2808578	-1	95.98
NC_071295.1	2846966	2855718	scf_3	2840805	2832051	-1	95.01
NC_071295.1	2855956	2859834	scf_3	2844688	2840805	-1	96.33
NC_071295.1	2859831	2861337	scf_3	2849930	2848402	-1	94.57
NC_071295.1	2861571	2870293	scf_3	2858708	2850003	-1	95.30
NC_071295.1	2870266	2879609	scf_3	2868123	2858789	-1	98.39
NC_071295.1	2879606	2883743	scf_3	2872532	2868388	-1	97.43
NC_071295.1	2883828	2908472	scf_3	2897404	2872519	-1	97.67
NC_071295.1	2908473	2929473	scf_3	2918287	2897306	-1	98.37
NC_071295.1	2929328	2946367	scf_3	2935375	2918287	-1	97.19
NC_071295.1	2951571	2956753	scf_3	2940578	2935371	-1	97.67
NC_071295.1	2956748	2988116	scf_3	2972054	2940660	-1	98.46
NC_071295.1	2988326	3001595	scf_3	2985234	2972081	-1	96.97
NC_071295.1	3002066	3004153	scf_3	2987326	2985308	-1	94.26
NC_071295.1	3004244	3004715	scf_3	2987894	2987441	-1	93.92
NC_071295.1	3004715	3013025	scf_3	2996605	2988292	-1	98.37
NC_071295.1	3019659	3022725	scf_3	2999617	2996591	-1	96.73
NC_071295.1	3022766	3039507	scf_3	3016368	2999615	-1	97.19
