Chromosome_ID	Accession_ID
Pi_chr1	12651329
Pi_chr2	12514254
Pi_chr3	12058152
Pi_chr4	11860281
Pi_chr5	11816407
Pi_chr6	11742873
Pi_chr7	11250008
Pi_chr8	11154766
Pi_chr9	10950421
Pi_chr10	10819065
Pi_chr11	10557213
Pi_chr12	10311656
Pi_chr13	10270740
Pi_chr14	10242959
Pi_chr15	10226474
Pi_chr16	10032087
Pi_chr17	9622388
Pi_chr18	9556803
Pi_chr19	9133681
Pi_chr20	8452395
Pi_chr21	8343125
Pi_chr22	7177523
Pi_chr23	7121933
Pi_chr24	7096637
Pi_chr25	7039582
Pi_chr26	6338195
Pi_chr27	5272335
Pi_chr28	4762607
Pi_chr29	4686454
Pi_chr30	3976440
Pi_chrZ	180911
NW_023637915.1	63785
NW_026525651.1	137633
NW_026525652.1	86959
NW_026525653.1	68785
NW_026525654.1	50045
NW_026525655.1	42198
NW_026525656.1	29365
NW_026525657.1	29086
NW_026525658.1	27042
NW_026525659.1	22577
NW_026525660.1	21236
NW_026525661.1	19941
NW_026525662.1	19339
NW_026525663.1	11382
NW_026525664.1	13531594
NC_027961.1	15264
