Species_1	Start_1	End_1	Species_2	Start_2	End_2	fill
Bm_chr1	14390141	14389964	Pi_chr4	1820083	1820260	cccccc
Bm_chr1	14390147	14389972	Pi_chr13	1201982	1201807	cccccc
Bm_chr1	14389963	14390189	Pi_chr21	3424821	3424595	cccccc
Bm_chr1	14118375	14118383	Pi_chr27	1470451	1469169	cccccc
Bm_chr1	14389948	14389970	Pi_chr29	2861789	2861832	cccccc
Bm_chr1	2518117	2907376	NW_026525664.1	11580874	11896346	cccccc
Bm_chr1	19754867	19897148	NW_026525664.1	2948137	3083789	cccccc
Bm_chr1	8786619	8975565	NW_026525664.1	7460203	7592574	cccccc
Bm_chr1	19947797	20091235	NW_026525664.1	3124968	3218311	cccccc
Bm_chr1	16224948	16365019	NW_026525664.1	578536	769271	cccccc
Bm_chr1	10868167	11017599	NW_026525664.1	6398843	6506940	cccccc
Bm_chr1	19348364	19506432	NW_026525664.1	2736618	2825326	cccccc
Bm_chr1	13809432	13947688	NW_026525664.1	4393627	4486118	cccccc
Bm_chr1	17352299	17429305	NW_026525664.1	1515094	1569323	cccccc
Bm_chr1	17923741	18075603	NW_026525664.1	2008246	2124883	cccccc
Bm_chr1	16436105	16551849	NW_026525664.1	804711	940574	cccccc
Bm_chr1	19031257	19274261	NW_026525664.1	2549808	2691126	cccccc
Bm_chr1	17515396	17598082	NW_026525664.1	1615563	1694544	cccccc
Bm_chr1	15914805	15947877	NW_026525664.1	308894	328107	cccccc
Bm_chr1	1655697	1703004	NW_026525664.1	11915980	11963592	cccccc
Bm_chr1	80274	118683	NW_026525664.1	13356308	13389055	cccccc
Bm_chr1	153675	188582	NW_026525664.1	12550858	12581545	cccccc
Bm_chr1	7486449	7582044	NW_026525664.1	8717147	8798280	cccccc
Bm_chr1	469384	620762	NW_026525664.1	12734123	12840585	cccccc
Bm_chr1	12852457	12919009	NW_026525664.1	5150364	5210242	cccccc
Bm_chr1	16100185	16148110	NW_026525664.1	481520	521393	cccccc
Bm_chr1	12754205	12802158	NW_026525664.1	5092981	5119990	cccccc
Bm_chr1	14030227	14041483	NW_026525664.1	4550462	4568644	cccccc
Bm_chr1	18428279	18473550	NW_026525664.1	2320679	2344477	cccccc
Bm_chr1	18234089	18288628	NW_026525664.1	2188394	2223938	cccccc
Bm_chr1	16609910	16709438	NW_026525664.1	972889	1025278	cccccc
Bm_chr1	2404755	2420557	NW_026525664.1	12333068	12346476	cccccc
Bm_chr1	1792101	1882357	NW_026525664.1	12013331	12037015	cccccc
Bm_chr1	12562961	12583738	NW_026525664.1	5004895	5023095	cccccc
Bm_chr1	1272356	1308779	NW_026525664.1	13301788	13323829	cccccc
Bm_chr1	17290393	17303501	NW_026525664.1	1450031	1461163	cccccc
Bm_chr1	7209877	7214240	NW_026525664.1	9002772	9004320	cccccc
Bm_chr1	20194183	20216122	NW_026525664.1	3264461	3277002	cccccc
Bm_chr1	1438607	1466306	NW_026525664.1	12282305	12295608	cccccc
Bm_chr1	17756900	17799570	NW_026525664.1	1861067	1910829	cccccc
Bm_chr1	1490950	1519836	NW_026525664.1	12476502	12491942	cccccc
Bm_chr1	9211976	9264793	NW_026525664.1	7721111	7771140	cccccc
Bm_chr1	16812819	16885885	NW_026525664.1	1078523	1121160	cccccc
Bm_chr1	19676227	19699848	NW_026525664.1	2874181	2912966	cccccc
Bm_chr1	19598433	19613716	NW_026525664.1	2868335	2872240	cccccc
Bm_chr1	9672784	10091359	NW_026525664.1	7165324	6860905	cccccc
Bm_chr1	11030419	11843150	NW_026525664.1	6232975	5686524	cccccc
Bm_chr1	7082344	7418438	NW_026525664.1	9109087	8865181	cccccc
Bm_chr1	5918902	6356945	NW_026525664.1	10008406	9637054	cccccc
Bm_chr1	4637236	4903326	NW_026525664.1	10837378	10650242	cccccc
Bm_chr1	10203460	10524354	NW_026525664.1	6793037	6556225	cccccc
Bm_chr1	7485004	7582047	NW_026525664.1	8798396	8715376	cccccc
Bm_chr1	13369229	13589624	NW_026525664.1	4860292	4707974	cccccc
Bm_chr1	9315484	9474767	NW_026525664.1	7417641	7325859	cccccc
Bm_chr1	6566525	6920562	NW_026525664.1	9477244	9223184	cccccc
Bm_chr1	8407136	8779335	NW_026525664.1	8098797	7774592	cccccc
Bm_chr1	3919120	4198841	NW_026525664.1	11076897	10932370	cccccc
Bm_chr1	11905605	12203627	NW_026525664.1	5656611	5392003	cccccc
Bm_chr1	14743786	14810618	NW_026525664.1	3939535	3899501	cccccc
Bm_chr1	15352960	15487034	NW_026525664.1	3624462	3529741	cccccc
Bm_chr1	5580569	5711845	NW_026525664.1	10202432	10116118	cccccc
Bm_chr1	5150797	5323537	NW_026525664.1	10503047	10358933	cccccc
Bm_chr1	8192681	8307769	NW_026525664.1	8235347	8142803	cccccc
Bm_chr1	6972137	7029007	NW_026525664.1	9188986	9135831	cccccc
Bm_chr1	5480482	5523192	NW_026525664.1	10249801	10224600	cccccc
Bm_chr1	3097200	3312546	NW_026525664.1	11511368	11418671	cccccc
Bm_chr1	3652717	3827256	NW_026525664.1	11184435	11122668	cccccc
Bm_chr1	15745072	15900415	NW_026525664.1	3407672	3285240	cccccc
Bm_chr1	14057154	14185965	NW_026525664.1	4306329	4220304	cccccc
Bm_chr1	12954898	13101130	NW_026525664.1	4973407	4883002	cccccc
Bm_chr1	2001356	2108341	NW_026525664.1	12244204	12162173	cccccc
Bm_chr1	14636931	14678924	NW_026525664.1	3990903	3971603	cccccc
Bm_chr1	4957543	5057378	NW_026525664.1	10616364	10554278	cccccc
Bm_chr1	20485975	20542221	NW_026525664.1	122908	76644	cccccc
Bm_chr1	4349936	4402440	NW_026525664.1	10879543	10850610	cccccc
Bm_chr1	2276713	2307633	NW_026525664.1	12108477	12055303	cccccc
Bm_chr1	14254349	14385563	NW_026525664.1	4215231	4107829	cccccc
Bm_chr1	2338797	2420557	NW_026525664.1	12413895	12346476	cccccc
Bm_chr1	13661141	13763159	NW_026525664.1	4688595	4602716	cccccc
Bm_chr1	62955	126000	NW_026525664.1	13410195	13349491	cccccc
Bm_chr1	12434137	12557766	NW_026525664.1	5278233	5214676	cccccc
Bm_chr1	7151747	7363770	NW_026525664.1	9056748	8906687	cccccc
Bm_chr1	19374088	19389681	NW_026525664.1	2755576	2744680	cccccc
Bm_chr1	15183067	15205355	NW_026525664.1	3692977	3676924	cccccc
Bm_chr1	7643180	7697197	NW_026525664.1	8642849	8589149	cccccc
Bm_chr1	2963479	3025522	NW_026525664.1	11573680	11531490	cccccc
Bm_chr1	14955827	15004265	NW_026525664.1	3822874	3805142	cccccc
Bm_chr1	3378357	3429692	NW_026525664.1	11379845	11349198	cccccc
Bm_chr1	20311258	20351990	NW_026525664.1	236520	206353	cccccc
Bm_chr1	7996636	8056443	NW_026525664.1	8367305	8328243	cccccc
Bm_chr1	656402	730758	NW_026525664.1	12988565	12927640	cccccc
Bm_chr1	4509257	4514252	NW_026525664.1	10846361	10842259	cccccc
Bm_chr1	10574213	10605112	NW_026525664.1	6534265	6514701	cccccc
Bm_chr1	7864361	7939015	NW_026525664.1	8482192	8400636	cccccc
Bm_chr1	6454210	6456957	NW_026525664.1	9563707	9556052	cccccc
Bm_chr1	1956451	1991845	NW_026525664.1	12471414	12439227	cccccc
Bm_chr1	15640012	15692923	NW_026525664.1	3458396	3431470	cccccc
Bm_chr1	3557430	3580815	NW_026525664.1	11276563	11244820	cccccc
Bm_chr1	11683136	11692406	NW_026525664.1	5790124	5781282	cccccc
Bm_chr1	2559577	2572804	NW_026525664.1	11616985	11608541	cccccc
Bm_chr1	5784766	5860318	NW_026525664.1	10104669	10048632	cccccc
Bm_chr2	759779	759934	Pi_chr1	10959021	10958920	cccccc
Bm_chr2	5469586	5469483	Pi_chr2	11258436	11258333	cccccc
Bm_chr2	759758	760111	Pi_chr13	1631277	1631172	cccccc
Bm_chr2	3386909	3556476	Pi_chr27	2057305	2177058	cccccc
Bm_chr2	6306447	6537996	Pi_chr27	3908497	4018409	cccccc
Bm_chr2	801221	1120307	Pi_chr27	732736	968929	cccccc
Bm_chr2	5724339	5862747	Pi_chr27	3485134	3572118	cccccc
Bm_chr2	4071456	4278540	Pi_chr27	2478979	2597263	cccccc
Bm_chr2	3955323	4011783	Pi_chr27	2389012	2427176	cccccc
Bm_chr2	7752148	7877778	Pi_chr27	5144606	5237330	cccccc
Bm_chr2	6997811	7142639	Pi_chr27	4281404	4380878	cccccc
Bm_chr2	4342859	4469792	Pi_chr27	2632671	2690939	cccccc
Bm_chr2	3729851	3893443	Pi_chr27	2231386	2353926	cccccc
Bm_chr2	5947458	5982059	Pi_chr27	3624257	3653347	cccccc
Bm_chr2	8085016	8190584	Pi_chr27	4845264	4931371	cccccc
Bm_chr2	2287102	2341916	Pi_chr27	1938506	1980010	cccccc
Bm_chr2	8248763	8279969	Pi_chr27	4785431	4825649	cccccc
Bm_chr2	1568038	1661880	Pi_chr27	1218750	1283954	cccccc
Bm_chr2	6251076	6289018	Pi_chr27	3694507	3729964	cccccc
