Chromosome_ID	Accession_ID
Bm_chr1	20666287
Bm_chr2	8396445
Bm_chr3	15212953
Bm_chr4	18737234
Bm_chr5	19061979
Bm_chr6	16650604
Bm_chr7	13944894
Bm_chr8	16262221
Bm_chr9	16796068
Bm_chr10	17614771
Bm_chr11	20440007
Bm_chr12	17580608
Bm_chr13	17735081
Bm_chr14	13345518
Bm_chr15	18440292
Bm_chr16	14337292
Bm_chr17	16840672
Bm_chr18	15699053
Bm_chr19	14801489
Bm_chr20	12370531
Bm_chr21	15310392
Bm_chr22	18482526
Bm_chr23	21465692
Bm_chr24	17359173
Bm_chr25	14548897
Bm_chr26	11473476
Bm_chr27	10930128
Bm_chr28	10609739
NW_023637893.1	225061
NW_023637894.1	221912
NW_023637895.1	181082
NW_023637896.1	141802
NW_023637897.1	136554
NW_023637898.1	136109
NW_023637899.1	136089
NW_023637901.1	128852
NW_023637904.1	118138
NW_023637905.1	110682
NW_023637906.1	110678
NW_023637907.1	107895
NW_023637909.1	95252
NW_023637910.1	89844
NW_023637915.1	63785
NW_023637920.1	57476
NW_023637922.1	56951
NW_023637925.1	51925
NW_023637929.1	43288
NW_023637936.1	39004
NW_023637940.1	36057
NW_023637954.1	33163
NW_023637958.1	32608
NW_023637961.1	32295
NW_023637962.1	31946
NW_023637999.1	26980
NW_023638013.1	25260
NW_023638033.1	23265
NW_023638037.1	23024
NW_023638055.1	22187
NW_023638073.1	21550
NW_023638081.1	21177
NW_023638117.1	19679
NW_023638134.1	19174
NW_023638136.1	19101
NW_023638157.1	18487
NW_023638163.1	18249
NW_023638179.1	17825
NW_023638184.1	17692
NW_023638185.1	17690
NW_023638193.1	17562
NW_023638197.1	17515
NW_023638212.1	17248
NW_023638260.1	16188
NW_023638265.1	16141
NW_023638272.1	15983
NW_023638323.1	14852
NW_023638335.1	14601
NW_023638391.1	13660
NW_023638418.1	13050
NW_023638430.1	12880
NW_023638527.1	10792
NW_023638548.1	10334
